continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2021-05-17,40099462,,,
Asia,Afghanistan,2021-05-18,40099462,,,
Asia,Afghanistan,2021-05-19,40099462,,,
Asia,Afghanistan,2021-05-20,40099462,,,
Asia,Afghanistan,2021-05-21,40099462,,,
Asia,Afghanistan,2021-05-22,40099462,,,
Asia,Afghanistan,2021-05-23,40099462,,,
Asia,Afghanistan,2021-05-24,40099462,,,
Asia,Afghanistan,2021-05-25,40099462,,,
Asia,Afghanistan,2021-05-26,40099462,,,
Asia,Afghanistan,2021-05-27,40099462,2859,2859,0.00712977146675933
Asia,Afghanistan,2021-05-28,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-05-29,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-05-30,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-05-31,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-06-01,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-06-02,40099462,,2859,0.00712977146675933
Asia,Afghanistan,2021-06-03,40099462,4015,6874,0.017142374628367832
Asia,Afghanistan,2021-06-04,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-05,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-06,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-07,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-08,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-09,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-10,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-11,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-12,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-13,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-14,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-15,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-16,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-17,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-18,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-19,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-20,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-21,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-22,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-23,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-24,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-25,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-26,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-27,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-28,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-29,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-06-30,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-01,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-02,40099462,,6874,0.017142374628367832
